version,wl,a0,T_coeff,S_coeff,a0_err,T_err,S_err,a0_raw,S_coeff_raw
2,3450,45751.904383648,-42.58215066,-263.943505555556,1356.064516,0.203523,1,45769.96575,-263.960405
2,3452,45123.8631805998,-41.9821709,-259.779648777778,1337.885147,0.203523,1,45120.86099,-259.799118
2,3454,44503.8475041653,-41.41403106,-255.868612,1280.266003,0.203523,1,44508.45144,-255.868612
2,3456,43891.1641474088,-40.80107665,-251.96125484375,1241.447514,0.203523,1,43892.83596,-252.158964
2,3458,43287.499237682,-40.22705848,-247.968861,1210.677515,0.203523,1,43283.07828,-248.027834
2,3460,42691.6434981316,-39.74135733,-244.02571590625,1176.25964,0.203523,1,42689.5745,-244.092047
2,3462,42104.7329118969,-39.22834545,-240.266105,1136.535989,0.203523,1,42110.65231,-240.266105
2,3464,41526.2721386905,-38.60518524,-236.78132337037,1125.098877,0.203523,1,41522.73171,-236.845883
2,3466,40956.4302307349,-37.99888521,-233.48195862963,1093.366221,0.203523,1,40962.79334,-233.50156
2,3468,40397.9658566128,-37.49281875,-230.231235,1076.234725,0.203523,1,40402.01287,-230.231235
2,3470,39851.9547428197,-36.99452386,-226.968809625,1059.218651,0.203523,1,39848.48069,-226.95757
2,3472,39316.1816422124,-36.4621103,-223.72564875,1044.869593,0.203523,1,39302.50104,-223.748072
2,3474,38791.4171232327,-35.9419712,-220.50194025,1007.0177,0.203523,1,38783.56904,-220.508601
2,3476,38276.3522174404,-35.46606542,-217.297872,964.437902,0.203523,1,38277.0375,-217.297872
2,3478,37770.2119658713,-34.95605389,-213.989332851852,911.056494,0.203523,1,37787.71423,-214.12023
2,3480,37274.161192977,-34.40709967,-210.567818481481,887.483188,0.203523,1,37288.71205,-210.623161
2,3482,36785.8124766816,-33.92877173,-207.206927,899.582189,0.203523,1,36775.76733,-207.206927
2,3484,36304.5845306116,-33.49515185,-204.117637375,888.420681,0.203523,1,36288.45829,-204.077733
