comp,quantile,A,S,C
amds,0.22,0.0133297770308144,0.0103609766089952,0.0119904332201482
amds,0.24,0.0133429922080629,0.0103620328417324,0.0120051344985084
amds,0.26,0.0133425297894287,0.010370796033912,0.0120292720042359
amds,0.28,0.0133511763761023,0.0103730985406937,0.012042694348949
amds,0.3,0.0133590292833652,0.0103762341272685,0.0120572206321422
amds,0.32,0.0133837549255582,0.0103694784614722,0.0120579758578261
amds,0.34,0.0133885954044332,0.0103742416987865,0.0120747634751815
amds,0.36,0.0134003098780089,0.0103739496785081,0.0120837342217651
amds,0.38,0.0134094308939941,0.0103756536843734,0.0120948208016322
amds,0.4,0.0134307302071076,0.0103713619701785,0.0120965164247318
amds,0.42,0.0134407541759506,0.0103732724271157,0.0121085929749882
amds,0.44,0.0134479486437302,0.010376811496363,0.0121238113630281
amds,0.46,0.0134613315027186,0.010375995748604,0.0121348601644193
amds,0.48,0.0134658007805295,0.0103797761423895,0.0121522508280765
amds,0.5,0.0134684919893243,0.0103845428458707,0.0121700081684116
amds,0.52,0.0134730100213292,0.0103889521220434,0.0121878426904785
amds,0.54,0.0134694576764111,0.0103986876970355,0.0122119675299019
amds,0.56,0.0134723795895923,0.0104047778428326,0.0122304817025374
amds,0.58,0.013484569064201,0.0104056070596248,0.0122402913106566
amds,0.6,0.0134798835522605,0.0104151071011533,0.0122660561341499
amds,0.62,0.0134966882143512,0.0104120235435489,0.0122721625764214
amds,0.64,0.0135019905040266,0.0104169844531563,0.0122903880002609
amds,0.66,0.0135079551392941,0.0104204080104504,0.0123061691514415
amds,0.68,0.0135101288173212,0.0104263406694085,0.0123257317407375
amds,0.7,0.01350436024703,0.0104371657385344,0.0123524011704319
amds,0.72,0.0135217449595451,0.0104349925706367,0.0123587965509854
amds,0.74,0.0135271885099469,0.0104384235319051,0.0123762487406876
amds,0.76,0.0135362625408093,0.0104410170378977,0.0123921685026021
amds,0.78,0.0135503059418499,0.0104425211643316,0.0124071402659493
amds,0.8,0.0135647072042625,0.0104445099705535,0.0124214424838537
amds,0.82,0.0135776256684303,0.0104474819119607,0.0124389731426106
amds,0.84,0.0135982464884282,0.0104464786164187,0.0124505678296625
amds,0.86,0.0135984895796029,0.0104576644463299,0.0124813154641342
amds,0.88,0.0136320488918917,0.010451215843492,0.0124876130430847
amds,0.9,0.0136470633227758,0.010455491550089,0.0125180011431104
amds,0.92,0.0137082844699249,0.0104380446432636,0.0125138336305072
