wv,Brown,Green,Crypt,CyanB,CyanR,Cocco,PhyC1
369,0.0268622373939147,0.0200170032045371,0.0213413137582721,0.0287488969894995,0.0301494919151354,0.0610023681880859,0.0400147929812357
370,0.0268665484694139,0.0200190553805336,0.021344010853268,0.0287542760424015,0.0301551217296273,0.061147584999009,0.0401745425898658
371,0.0268724983790219,0.020021887680964,0.0213477332619464,0.0287616999563319,0.0301628916906337,0.0613251593487085,0.0403450258247873
372,0.0268807101174499,0.0200257966662276,0.0213528707622533,0.0287719460905585,0.0301736153644115,0.0615309590001666,0.0405155090597088
373,0.0268920435077792,0.0200311916326748,0.0213599613081024,0.0287860873195076,0.0301884155904614,0.061760011279297,0.0406969425990853
374,0.0269076852305983,0.0200386374686154,0.0213697473591845,0.0288056043736249,0.0302088420502425,0.0620071138394429,0.0408783761384618
375,0.0269292730772747,0.0200489138018227,0.0213832536248263,0.0288325408869071,0.0302370335290604,0.0622675305235776,0.0410625586352562
376,0.0269590674374939,0.0200630966316661,0.0214018943625513,0.0288697173861598,0.0302759418610211,0.062537772324207,0.0412467411320506
377,0.0270001879769429,0.0200826709932901,0.0214276214667078,0.0289210266288298,0.0303296410055655,0.0628164634409721,0.041437221826034
378,0.0270569402868474,0.0201096864505166,0.0214631288537033,0.0289918412142883,0.0304037536179415,0.0631052924359548,0.0416277025200173
379,0.0271352667077228,0.0201469716985966,0.0215121345452717,0.0290895761496078,0.0305060397783597,0.0634063631751918,0.0418135113917576
380,0.0272433685315511,0.0201984307471232,0.0215797699870576,0.029224465276192,0.0306472095236661,0.0637069713123791,0.0419993202634979
381,0.0273925647310507,0.0202694516953969,0.0216731173685386,0.0294106328570184,0.0308420442589654,0.0639996955950901,0.0421781062887276
382,0.027598477130646,0.0203674709017002,0.0218019512077102,0.0296675725305738,0.031110944468403,0.0642789697901691,0.0423568923139573
383,0.0279764580881202,0.0205513886270344,0.0220436861238673,0.0301496773335023,0.0316154938735536,0.0645412908251039,0.0425451332251937
384,0.0283544390455943,0.0207313165689675,0.0222801859381013,0.0306213370931289,0.0321090977415287,0.0647854714747205,0.0427333741364302
385,0.0287324200030685,0.0209112445109006,0.0225166857523354,0.0310929968527554,0.0326027016095038,0.0650129375931981,0.0429475476661907
386,0.0291104009605427,0.0210911724528336,0.0227531726268193,0.0315646369262615,0.0330963263743025,0.0652280698914059,0.0431617211959513
387,0.0294883819180168,0.0212711003947667,0.0229896595013031,0.0320362769997677,0.0335899511391011,0.0654385902595607,0.0433782642473144
388,0.029866362875491,0.0214510283366998,0.0232261528456621,0.0325079170732738,0.034083565455488,0.0656559926352063,0.0435948072986775
389,0.0302443438329651,0.0216309562786329,0.0234626526598962,0.0329795571467799,0.0345771693234631,0.0658795537005058,0.0438144829990453
390,0.0306223247904393,0.021810884220566,0.0236991524741302,0.033451197220286,0.0350707731914382,0.0661077652944899,0.0440341586994131
391,0.0310003057479134,0.021990812162499,0.0239356393486141,0.0339228569799126,0.0355643770594134,0.0663398638732778,0.0443099341177884
392,0.0313782867053876,0.0221707401044321,0.024172126223098,0.0343945167395391,0.0360579809273885,0.0665763762179618,0.0445857095361638
393,0.0317562676628617,0.0223506680463652,0.0244086195674569,0.0348661666561054,0.0365515847953636,0.0668185716889234,0.0449062871362209
394,0.0321342486203359,0.0225305959882983,0.024645119381691,0.0353378067296116,0.0370451886633387,0.0670679409089381,0.0452268647362781
395,0.0325122295778101,0.0227105239302314,0.024881619195925,0.0358094468031177,0.0375387925313138,0.0673257008750697,0.0455661251848044
396,0.0328902105352842,0.0228904518721644,0.0251181060704089,0.0362811065627442,0.0380324172961125,0.0675923264993548,0.0459053856333307
397,0.0332681914927584,0.0230703798140975,0.0253545929448928,0.0367527663223708,0.0385260420609111,0.0678671085782759,0.0462940633039985
398,0.0336461724502325,0.0232503133735124,0.0255910862892517,0.0372244162389371,0.039019656377298,0.0681499448445519,0.0466827409746663
399,0.0340241534077067,0.0234302525504091,0.0258275861034858,0.0376960563124432,0.0395132602452731,0.0684462285880468,0.0471515702411479
400,0.0344021343651808,0.0236101917273057,0.0260640859177199,0.0381676963859494,0.0400068641132482,0.0687598413065537,0.0476203995076295
401,0.034780115322655,0.0237901196692388,0.0263005727922037,0.0386393561455759,0.0405004679812234,0.069092705247269,0.0482008563290185
402,0.0351580962801291,0.0239700476111719,0.0265370596666876,0.0391110159052025,0.0409940718491985,0.0694450553264595,0.0487813131504075
403,0.0355360772376033,0.0241715129783117,0.0267919468659425,0.0396222841391547,0.0415109965722035,0.069815730744842,0.0494435320227837
404,0.0359140581950775,0.0243945157706582,0.0270652343899685,0.0401731608474326,0.0420512421502383,0.0702024862986751,0.05010575089516
405,0.0362920391525516,0.0246175185630048,0.0273385219139945,0.0407240375557105,0.0425914877282731,0.0706023233865642,0.050788453997675
406,0.0366700201100258,0.0248440716038465,0.0276245421522081,0.0413237949010413,0.0431617620416824,0.0710118407119791,0.0514711571001901
407,0.0370480010674999,0.0250706246446883,0.0279105623904217,0.0419235522463722,0.0437320363550917,0.0714263550719932,0.0522035253974221
408,0.0374259820249741,0.0252857685800019,0.0281872271892475,0.0425186439811588,0.0442974939506835,0.0718434616972536,0.0529358936946541
409,0.0378039629824482,0.0254895034097873,0.0284545365486854,0.043109070105401,0.0448581348284577,0.0722621767486598,0.0537449115820023
410,0.0381819439399224,0.0256932382395728,0.0287218459081233,0.0436994962296432,0.0454187757062319,0.0726802593317441,0.0545539294693505
