SampleID,wavelen,value
I020105,644,0.0403529850669186
I020105,646,0.0391662854362232
I020105,648,0.0380144842402077
I020105,650,0.0368965551865308
I020105,652,0.0358115021640315
I020105,654,0.0347583583551626
I020105,656,0.0337361853745239
I020105,658,0.032744072432731
I020105,660,0.0317811355248721
I020105,662,0.0308465166428309
I020105,664,0.0299393830107735
I020105,666,0.0290589263431183
I020105,668,0.0282043621243268
I020105,670,0.0273749289098751
I020105,672,0.0265698876477818
I020105,674,0.0257885210200886
I020105,676,0.025030132803707
I020105,678,0.0242940472500604
I020105,680,0.0235796084829705
I020105,682,0.02288617991425
I020105,684,0.0222131436764821
I020105,686,0.0215599000724804
I020105,688,0.020925867040939
I020105,690,0.0203104796377973
I020105,692,0.0197131895328561
I020105,694,0.019133464521198
I020105,696,0.0185707880489749
