wv,Brown,Green,Crypt,CyanB,CyanR,Cocco,PhyC1
396,0.24882112855657,0.222328244274809,0.194166666666667,0.233,0.233,0.73732838769395,0.222971761982685
397,0.248739503589192,0.222328244274809,0.194166666666667,0.233,0.233,0.736676831498841,0.22253146018316
398,0.248657878621814,0.222328244274809,0.194166666666667,0.233,0.233,0.735991833819894,0.222106921704747
399,0.248580827592784,0.222328244274809,0.194166666666667,0.233,0.233,0.735279075735893,0.221701003100349
400,0.248503776563754,0.222328244274809,0.194166666666667,0.233,0.233,0.734544326380484,0.221297567326876
401,0.248420985589848,0.222328244274809,0.194166666666667,0.233,0.233,0.733797797420775,0.220881688188046
402,0.248338194615941,0.222328244274809,0.194166666666667,0.233,0.233,0.733039900361978,0.220458038506972
403,0.248280482073088,0.222328244274809,0.194166666666667,0.233,0.233,0.732264716818724,0.220031291106768
404,0.248222769530235,0.222328244274809,0.194166666666667,0.233,0.233,0.73147691102921,0.219606118810546
405,0.248168309736332,0.222328244274809,0.194166666666667,0.233,0.233,0.730685792846317,0.219187194441421
406,0.24811384994243,0.222328244274809,0.194166666666667,0.233,0.233,0.729899662104221,0.218779190822505
407,0.248062515800726,0.222328244274809,0.194166666666667,0.233,0.233,0.729126904869203,0.218386780776913
408,0.248011181659022,0.222328244274809,0.194166666666667,0.233,0.233,0.728378812694443,0.218014637127756
409,0.247962599738765,0.222328244274809,0.194166666666667,0.233,0.233,0.7276733999289,0.21766743269815
410,0.247914017818507,0.222328244274809,0.194166666666667,0.233,0.233,0.72701646329738,0.217349840311207
411,0.247868932168605,0.222328244274809,0.194166666666667,0.233,0.233,0.726398806929101,0.21706653279004
412,0.247823846518704,0.222328244274809,0.194166666666667,0.233,0.233,0.72581283225704,0.216814196727856
413,0.247782139415113,0.222328244274809,0.194166666666667,0.233,0.233,0.725247755056488,0.216584969839934
414,0.247740432311522,0.222328244274809,0.194166666666667,0.233,0.233,0.72468778937554,0.216376701632494
415,0.247700437664057,0.222328244274809,0.194166666666667,0.233,0.233,0.724142760705052,0.216187241611758
